Data;Nowe_przypadki;Zgony
03.03.2020;0;0
04.03.2020;1;0
05.03.2020;0;0
06.03.2020;4;0
07.03.2020;1;0
08.03.2020;5;0
09.03.2020;6;0
10.03.2020;5;0
11.03.2020;9;0
12.03.2020;20;1
13.03.2020;17;1
14.03.2020;35;1
15.03.2020;21;0
16.03.2020;52;1
17.03.2020;61;1
18.03.2020;48;0
19.03.2020;68;0
20.03.2020;70;0
21.03.2020;111;0
22.03.2020;99;2
23.03.2020;115;1
24.03.2020;152;2
25.03.2020;151;3
26.03.2020;170;3
27.03.2020;168;0
28.03.2020;249;2
29.03.2020;224;4
30.03.2020;193;9
31.03.2020;256;2
01.04.2020;243;10
02.04.2020;392;14
03.04.2020;437;14
04.04.2020;244;8
05.04.2020;475;15
06.04.2020;311;9
07.04.2020;435;26
08.04.2020;356;29
09.04.2020;370;16
10.04.2020;380;7
11.04.2020;401;27
12.04.2020;318;23
13.04.2020;260;13
14.04.2020;269;18
15.04.2020;380;22
16.04.2020;336;28
17.04.2020;461;18
18.04.2020;363;15
19.04.2020;545;13
20.04.2020;306;20
21.04.2020;263;20
22.04.2020;313;25
23.04.2020;342;28
24.04.2020;381;40
25.04.2020;381;30
26.04.2020;344;12
27.04.2020;285;27
28.04.2020;316;34
29.04.2020;422;28
30.04.2020;237;20
01.05.2020;228;7
02.05.2020;270;12
03.05.2020;318;15
04.05.2020;313;19
05.05.2020;425;19
06.05.2020;309;18
07.05.2020;307;22
08.05.2020;319;20
09.05.2020;285;9
10.05.2020;345;15
11.05.2020;330;11
12.05.2020;595;28
13.05.2020;283;23
14.05.2020;411;22
15.05.2020;401;24
16.05.2020;241;8
17.05.2020;272;10
18.05.2020;356;11
19.05.2020;383;12
20.05.2020;471;14
21.05.2020;404;10
22.05.2020;476;10
23.05.2020;312;11
24.05.2020;395;3
25.05.2020;305;11
26.05.2020;443;17
27.05.2020;399;4
28.05.2020;352;10
29.05.2020;330;13
30.05.2020;416;10
31.05.2020;215;3
01.06.2020;379;10
02.06.2020;230;18
03.06.2020;292;23
04.06.2020;361;2
05.06.2020;362;20
06.06.2020;576;14
07.06.2020;575;4
08.06.2020;599;9
09.06.2020;400;19
10.06.2020;282;23
11.06.2020;359;9
12.06.2020;376;7
13.06.2020;440;15
14.06.2020;375;10
15.06.2020;396;9
16.06.2020;407;16
17.06.2020;506;14
18.06.2020;314;30
19.06.2020;301;18
20.06.2020;304;12
21.06.2020;311;10
22.06.2020;296;3
23.06.2020;300;16
24.06.2020;294;21
25.06.2020;298;16
26.06.2020;276;17
27.06.2020;319;6
28.06.2020;193;4
29.06.2020;247;6
30.06.2020;239;19
01.07.2020;382;14
02.07.2020;371;15
03.07.2020;259;14
04.07.2020;314;5
05.07.2020;231;5
06.07.2020;205;4
07.07.2020;257;7
08.07.2020;277;15
09.07.2020;262;9
10.07.2020;265;11
11.07.2020;305;6
12.07.2020;370;3
13.07.2020;299;5
14.07.2020;267;12
15.07.2020;264;6
16.07.2020;333;10
17.07.2020;353;7
18.07.2020;339;6
19.07.2020;358;6
20.07.2020;279;4
21.07.2020;399;9
22.07.2020;380;6
23.07.2020;418;9
24.07.2020;458;4
25.07.2020;584;9
26.07.2020;443;7
27.07.2020;337;5
28.07.2020;502;6
29.07.2020;512;12
30.07.2020;615;15
31.07.2020;657;7
01.08.2020;658;5
02.08.2020;548;10
03.08.2020;575;1
04.08.2020;680;6
05.08.2020;640;18
06.08.2020;726;18
07.08.2020;809;13
08.08.2020;843;13
09.08.2020;624;7
10.08.2020;619;2
11.08.2020;551;12
12.08.2020;715;9
13.08.2020;811;13
14.08.2020;832;15
15.08.2020;771;11
16.08.2020;594;8
17.08.2020;595;8
18.08.2020;597;11
19.08.2020;735;17
20.08.2020;767;12
21.08.2020;903;13
22.08.2020;900;13
23.08.2020;581;4
24.08.2020;548;5
25.08.2020;763;17
26.08.2020;729;17
27.08.2020;887;15
28.08.2020;791;9
29.08.2020;759;14
30.08.2020;631;1
31.08.2020;502;6
01.09.2020;550;19
02.09.2020;595;20
03.09.2020;612;14
04.09.2020;691;8
05.09.2020;567;13
06.09.2020;437;7
07.09.2020;302;3
08.09.2020;400;12
09.09.2020;421;11
10.09.2020;506;12
11.09.2020;594;10
12.09.2020;603;13
13.09.2020;502;6
14.09.2020;377;15
15.09.2020;605;24
16.09.2020;600;10
17.09.2020;837;16
18.09.2020;757;17
19.09.2020;1002;12
20.09.2020;910;11
21.09.2020;748;5
22.09.2020;711;18
23.09.2020;974;28
24.09.2020;1136;25
25.09.2020;1587;23
26.09.2020;1584;32
27.09.2020;1350;8
28.09.2020;1306;15
29.09.2020;1326;36
30.09.2020;1552;30
01.10.2020;1967;30
02.10.2020;2292;27
03.10.2020;2367;34
04.10.2020;1934;26
05.10.2020;2006;29
06.10.2020;2236;58
07.10.2020;3003;75
08.10.2020;4280;76
09.10.2020;4739;52
10.10.2020;5300;53
11.10.2020;4178;32
12.10.2020;4394;35
13.10.2020;5068;63
14.10.2020;6526;116
15.10.2020;8099;91
16.10.2020;7705;132
17.10.2020;9622;84
18.10.2020;8536;49
19.10.2020;7482;41
20.10.2020;9291;107
21.10.2020;10040;130
22.10.2020;12107;168
23.10.2020;13632;153
24.10.2020;13628;179
25.10.2020;11742;87
26.10.2020;10241;45
27.10.2020;16300;132
28.10.2020;18820;236
29.10.2020;20156;301
30.10.2020;21629;202
31.10.2020;21897;280
01.11.2020;17171;152
02.11.2020;15578;92
03.11.2020;19364;227
04.11.2020;24692;373
05.11.2020;27143;367
06.11.2020;27086;445
07.11.2020;27875;349
08.11.2020;24785;236
09.11.2020;21713;173
10.11.2020;25484;330
11.11.2020;25221;430
12.11.2020;22683;275
13.11.2020;24051;419
14.11.2020;25571;548
15.11.2020;21854;303
16.11.2020;20816;143
17.11.2020;19152;357
18.11.2020;19883;603
19.11.2020;23975;637
20.11.2020;22464;626
21.11.2020;24213;574
22.11.2020;17856;330
23.11.2020;15002;156
